model,experiment,task_id,pair_id,criterion_id,language,variant,expected,planned,valid,passes,pass_fraction
qwen3:1.7b,matched_response,1172,1172-wrong_sam,1,es,wrong_sam,1,3,3,3,1.0
qwen3:1.7b,matched_response,1172,1172-wrong_sam,2,en,wrong_sam,1,3,3,0,0.0
qwen3:1.7b,matched_response,1172,1172-wrong_sam,2,es,wrong_sam,1,3,3,0,0.0
qwen3:1.7b,matched_response,1172,1172-wrong_sam,3,en,wrong_sam,1,3,3,3,1.0
qwen3:1.7b,matched_response,1172,1172-wrong_sam,3,es,wrong_sam,1,3,3,3,1.0
qwen3:1.7b,matched_response,1172,1172-wrong_sam,4,en,wrong_sam,0,3,3,3,1.0
qwen3:1.7b,matched_response,1172,1172-wrong_sam,4,es,wrong_sam,0,3,3,3,1.0
qwen3:1.7b,matched_response,1172,1172-wrong_sam,5,en,wrong_sam,1,3,3,0,0.0
qwen3:1.7b,matched_response,1172,1172-wrong_sam,5,es,wrong_sam,1,3,3,3,1.0
qwen3:1.7b,matched_response,1172,1172-wrong_sam,6,en,wrong_sam,1,3,3,3,1.0
qwen3:1.7b,matched_response,1172,1172-wrong_sam,6,es,wrong_sam,1,3,3,3,1.0
qwen3:1.7b,numeric_probe,1172,1172-numeric-c2-nominal,2,en,nominal,1,3,3,3,1.0
qwen3:1.7b,numeric_probe,1172,1172-numeric-c2-nominal,2,es,nominal,1,3,3,3,1.0
qwen3:1.7b,numeric_probe,1172,1172-numeric-c2-nominal,2,pt,nominal,1,3,3,3,1.0
qwen3:1.7b,numeric_probe,1172,1172-numeric-c2-outside,2,en,outside,0,3,3,0,0.0
qwen3:1.7b,numeric_probe,1172,1172-numeric-c2-outside,2,es,outside,0,3,3,3,1.0
qwen3:1.7b,numeric_probe,1172,1172-numeric-c2-outside,2,pt,outside,0,3,3,3,1.0
qwen3:1.7b,numeric_probe,1172,1172-numeric-c2-valid_edge,2,en,valid_edge,1,3,3,3,1.0
qwen3:1.7b,numeric_probe,1172,1172-numeric-c2-valid_edge,2,es,valid_edge,1,3,3,3,1.0
qwen3:1.7b,numeric_probe,1172,1172-numeric-c2-valid_edge,2,pt,valid_edge,1,3,3,3,1.0
qwen3:1.7b,numeric_probe,1172,1172-numeric-c4-far_error,4,en,far_error,0,3,3,3,1.0
qwen3:1.7b,numeric_probe,1172,1172-numeric-c4-far_error,4,es,far_error,0,3,3,3,1.0
qwen3:1.7b,numeric_probe,1172,1172-numeric-c4-far_error,4,pt,far_error,0,3,3,3,1.0
qwen3:1.7b,numeric_probe,1172,1172-numeric-c4-near_error,4,en,near_error,0,3,3,3,1.0
qwen3:1.7b,numeric_probe,1172,1172-numeric-c4-near_error,4,es,near_error,0,3,3,3,1.0
qwen3:1.7b,numeric_probe,1172,1172-numeric-c4-near_error,4,pt,near_error,0,3,3,3,1.0
qwen3:1.7b,numeric_probe,1172,1172-numeric-c4-nominal,4,en,nominal,1,3,3,3,1.0
qwen3:1.7b,numeric_probe,1172,1172-numeric-c4-nominal,4,es,nominal,1,3,3,3,1.0
qwen3:1.7b,numeric_probe,1172,1172-numeric-c4-nominal,4,pt,nominal,1,3,3,3,1.0
qwen3:1.7b,numeric_probe,2145,2145-numeric-c1-nominal,1,en,nominal,1,3,3,3,1.0
qwen3:1.7b,numeric_probe,2145,2145-numeric-c1-nominal,1,es,nominal,1,3,3,3,1.0
qwen3:1.7b,numeric_probe,2145,2145-numeric-c1-nominal,1,pt,nominal,1,3,3,3,1.0
qwen3:1.7b,numeric_probe,2145,2145-numeric-c1-outside,1,en,outside,0,3,3,0,0.0
qwen3:1.7b,numeric_probe,2145,2145-numeric-c1-outside,1,es,outside,0,3,3,0,0.0
qwen3:1.7b,numeric_probe,2145,2145-numeric-c1-outside,1,pt,outside,0,3,3,0,0.0
qwen3:1.7b,numeric_probe,2145,2145-numeric-c1-valid_edge,1,en,valid_edge,1,3,3,3,1.0
qwen3:1.7b,numeric_probe,2145,2145-numeric-c1-valid_edge,1,es,valid_edge,1,3,3,3,1.0
qwen3:1.7b,numeric_probe,2145,2145-numeric-c1-valid_edge,1,pt,valid_edge,1,3,3,3,1.0
qwen3:1.7b,numeric_probe,2145,2145-numeric-c10-nominal,10,en,nominal,1,3,3,3,1.0
qwen3:1.7b,numeric_probe,2145,2145-numeric-c10-nominal,10,es,nominal,1,3,3,3,1.0
qwen3:1.7b,numeric_probe,2145,2145-numeric-c10-nominal,10,pt,nominal,1,3,3,3,1.0
qwen3:1.7b,numeric_probe,2145,2145-numeric-c10-outside,10,en,outside,0,3,3,0,0.0
qwen3:1.7b,numeric_probe,2145,2145-numeric-c10-outside,10,es,outside,0,3,3,0,0.0
qwen3:1.7b,numeric_probe,2145,2145-numeric-c10-outside,10,pt,outside,0,3,3,0,0.0
qwen3:1.7b,numeric_probe,2145,2145-numeric-c10-valid_edge,10,en,valid_edge,1,3,3,3,1.0
qwen3:1.7b,numeric_probe,2145,2145-numeric-c10-valid_edge,10,es,valid_edge,1,3,3,3,1.0
qwen3:1.7b,numeric_probe,2145,2145-numeric-c10-valid_edge,10,pt,valid_edge,1,3,3,3,1.0
qwen3:1.7b,numeric_probe,2287,2287-numeric-c5-nominal,5,en,nominal,1,3,3,3,1.0
qwen3:1.7b,numeric_probe,2287,2287-numeric-c5-nominal,5,es,nominal,1,3,3,3,1.0
qwen3:1.7b,numeric_probe,2287,2287-numeric-c5-nominal,5,pt,nominal,1,3,3,3,1.0
qwen3:1.7b,numeric_probe,2287,2287-numeric-c5-outside,5,en,outside,0,3,3,3,1.0
qwen3:1.7b,numeric_probe,2287,2287-numeric-c5-outside,5,es,outside,0,3,3,0,0.0
qwen3:1.7b,numeric_probe,2287,2287-numeric-c5-outside,5,pt,outside,0,3,3,3,1.0
qwen3:1.7b,numeric_probe,2287,2287-numeric-c5-valid_edge,5,en,valid_edge,1,3,3,3,1.0
qwen3:1.7b,numeric_probe,2287,2287-numeric-c5-valid_edge,5,es,valid_edge,1,3,3,3,1.0
qwen3:1.7b,numeric_probe,2287,2287-numeric-c5-valid_edge,5,pt,valid_edge,1,3,3,3,1.0
qwen3:1.7b,numeric_probe,2287,2287-numeric-c6-nominal,6,en,nominal,1,3,3,3,1.0
qwen3:1.7b,numeric_probe,2287,2287-numeric-c6-nominal,6,es,nominal,1,3,3,3,1.0
qwen3:1.7b,numeric_probe,2287,2287-numeric-c6-nominal,6,pt,nominal,1,3,3,3,1.0
qwen3:1.7b,numeric_probe,2287,2287-numeric-c6-outside,6,en,outside,0,3,3,3,1.0
qwen3:1.7b,numeric_probe,2287,2287-numeric-c6-outside,6,es,outside,0,3,3,3,1.0
qwen3:1.7b,numeric_probe,2287,2287-numeric-c6-outside,6,pt,outside,0,3,3,3,1.0
qwen3:1.7b,numeric_probe,2287,2287-numeric-c6-valid_edge,6,en,valid_edge,1,3,3,3,1.0
qwen3:1.7b,numeric_probe,2287,2287-numeric-c6-valid_edge,6,es,valid_edge,1,3,3,3,1.0
qwen3:1.7b,numeric_probe,2287,2287-numeric-c6-valid_edge,6,pt,valid_edge,1,3,3,3,1.0
qwen3:4b,matched_response,1172,1172-complete,1,en,complete,1,3,3,3,1.0
qwen3:4b,matched_response,1172,1172-complete,1,es,complete,1,3,3,3,1.0
qwen3:4b,matched_response,1172,1172-complete,2,en,complete,1,3,3,3,1.0
qwen3:4b,matched_response,1172,1172-complete,2,es,complete,1,3,3,3,1.0
qwen3:4b,matched_response,1172,1172-complete,3,en,complete,1,3,3,3,1.0
qwen3:4b,matched_response,1172,1172-complete,3,es,complete,1,3,3,3,1.0
qwen3:4b,matched_response,1172,1172-complete,4,en,complete,1,3,3,3,1.0
qwen3:4b,matched_response,1172,1172-complete,4,es,complete,1,3,3,3,1.0
qwen3:4b,matched_response,1172,1172-complete,5,en,complete,1,3,3,3,1.0
qwen3:4b,matched_response,1172,1172-complete,5,es,complete,1,3,3,3,1.0
qwen3:4b,matched_response,1172,1172-complete,6,en,complete,1,3,3,3,1.0
qwen3:4b,matched_response,1172,1172-complete,6,es,complete,1,3,3,3,1.0
qwen3:4b,matched_response,1172,1172-missing_risk,1,en,missing_risk,1,3,3,3,1.0
qwen3:4b,matched_response,1172,1172-missing_risk,1,es,missing_risk,1,3,3,3,1.0
qwen3:4b,matched_response,1172,1172-missing_risk,2,en,missing_risk,1,3,3,3,1.0
qwen3:4b,matched_response,1172,1172-missing_risk,2,es,missing_risk,1,3,3,3,1.0
qwen3:4b,matched_response,1172,1172-missing_risk,3,en,missing_risk,1,3,3,3,1.0
qwen3:4b,matched_response,1172,1172-missing_risk,3,es,missing_risk,1,3,3,3,1.0
qwen3:4b,matched_response,1172,1172-missing_risk,4,en,missing_risk,1,3,3,3,1.0
qwen3:4b,matched_response,1172,1172-missing_risk,4,es,missing_risk,1,3,3,3,1.0
qwen3:4b,matched_response,1172,1172-missing_risk,5,en,missing_risk,0,3,3,0,0.0
qwen3:4b,matched_response,1172,1172-missing_risk,5,es,missing_risk,0,3,3,0,0.0
qwen3:4b,matched_response,1172,1172-missing_risk,6,en,missing_risk,1,3,3,3,1.0
qwen3:4b,matched_response,1172,1172-missing_risk,6,es,missing_risk,1,3,3,3,1.0
qwen3:4b,matched_response,1172,1172-wrong_sam,1,en,wrong_sam,1,3,3,3,1.0
qwen3:4b,matched_response,1172,1172-wrong_sam,1,es,wrong_sam,1,3,3,3,1.0
qwen3:4b,matched_response,1172,1172-wrong_sam,2,en,wrong_sam,1,3,3,3,1.0
qwen3:4b,matched_response,1172,1172-wrong_sam,2,es,wrong_sam,1,3,3,3,1.0
qwen3:4b,matched_response,1172,1172-wrong_sam,3,en,wrong_sam,1,3,3,3,1.0
qwen3:4b,matched_response,1172,1172-wrong_sam,3,es,wrong_sam,1,3,3,3,1.0
qwen3:4b,matched_response,1172,1172-wrong_sam,4,en,wrong_sam,0,3,3,0,0.0
qwen3:4b,matched_response,1172,1172-wrong_sam,4,es,wrong_sam,0,3,3,0,0.0
qwen3:4b,matched_response,1172,1172-wrong_sam,5,en,wrong_sam,1,3,3,3,1.0
qwen3:4b,matched_response,1172,1172-wrong_sam,5,es,wrong_sam,1,3,3,3,1.0
qwen3:4b,matched_response,1172,1172-wrong_sam,6,en,wrong_sam,1,3,3,3,1.0
qwen3:4b,matched_response,1172,1172-wrong_sam,6,es,wrong_sam,1,3,3,3,1.0
qwen3:4b,numeric_probe,1172,1172-numeric-c2-nominal,2,en,nominal,1,3,3,3,1.0
qwen3:4b,numeric_probe,1172,1172-numeric-c2-nominal,2,es,nominal,1,3,3,3,1.0
qwen3:4b,numeric_probe,1172,1172-numeric-c2-nominal,2,pt,nominal,1,3,3,3,1.0
qwen3:4b,numeric_probe,1172,1172-numeric-c2-outside,2,en,outside,0,3,3,3,1.0
qwen3:4b,numeric_probe,1172,1172-numeric-c2-outside,2,es,outside,0,3,3,3,1.0
qwen3:4b,numeric_probe,1172,1172-numeric-c2-outside,2,pt,outside,0,3,3,3,1.0
qwen3:4b,numeric_probe,1172,1172-numeric-c2-valid_edge,2,en,valid_edge,1,3,3,3,1.0
qwen3:4b,numeric_probe,1172,1172-numeric-c2-valid_edge,2,es,valid_edge,1,3,3,3,1.0
qwen3:4b,numeric_probe,1172,1172-numeric-c2-valid_edge,2,pt,valid_edge,1,3,3,3,1.0
qwen3:4b,numeric_probe,1172,1172-numeric-c4-far_error,4,en,far_error,0,3,3,3,1.0
qwen3:4b,numeric_probe,1172,1172-numeric-c4-far_error,4,es,far_error,0,3,3,3,1.0
qwen3:4b,numeric_probe,1172,1172-numeric-c4-far_error,4,pt,far_error,0,3,3,0,0.0
qwen3:4b,numeric_probe,1172,1172-numeric-c4-near_error,4,en,near_error,0,3,3,3,1.0
qwen3:4b,numeric_probe,1172,1172-numeric-c4-near_error,4,es,near_error,0,3,3,3,1.0
qwen3:4b,numeric_probe,1172,1172-numeric-c4-near_error,4,pt,near_error,0,3,3,3,1.0
qwen3:4b,numeric_probe,1172,1172-numeric-c4-nominal,4,en,nominal,1,3,3,3,1.0
qwen3:4b,numeric_probe,1172,1172-numeric-c4-nominal,4,es,nominal,1,3,3,3,1.0
qwen3:4b,numeric_probe,1172,1172-numeric-c4-nominal,4,pt,nominal,1,3,3,3,1.0
qwen3:4b,numeric_probe,2145,2145-numeric-c1-nominal,1,en,nominal,1,3,3,3,1.0
qwen3:4b,numeric_probe,2145,2145-numeric-c1-nominal,1,es,nominal,1,3,3,3,1.0
qwen3:4b,numeric_probe,2145,2145-numeric-c1-nominal,1,pt,nominal,1,3,3,3,1.0
qwen3:4b,numeric_probe,2145,2145-numeric-c1-outside,1,en,outside,0,3,3,0,0.0
qwen3:4b,numeric_probe,2145,2145-numeric-c1-outside,1,es,outside,0,3,3,0,0.0
qwen3:4b,numeric_probe,2145,2145-numeric-c1-outside,1,pt,outside,0,3,3,0,0.0
qwen3:4b,numeric_probe,2145,2145-numeric-c1-valid_edge,1,en,valid_edge,1,3,3,0,0.0
qwen3:4b,numeric_probe,2145,2145-numeric-c1-valid_edge,1,es,valid_edge,1,3,3,1,0.3333333333333333
qwen3:4b,numeric_probe,2145,2145-numeric-c1-valid_edge,1,pt,valid_edge,1,3,3,3,1.0
qwen3:4b,numeric_probe,2145,2145-numeric-c10-nominal,10,en,nominal,1,3,3,3,1.0
qwen3:4b,numeric_probe,2145,2145-numeric-c10-nominal,10,es,nominal,1,3,3,3,1.0
qwen3:4b,numeric_probe,2145,2145-numeric-c10-nominal,10,pt,nominal,1,3,3,3,1.0
qwen3:4b,numeric_probe,2145,2145-numeric-c10-outside,10,en,outside,0,3,3,0,0.0
qwen3:4b,numeric_probe,2145,2145-numeric-c10-outside,10,es,outside,0,3,3,0,0.0
qwen3:4b,numeric_probe,2145,2145-numeric-c10-outside,10,pt,outside,0,3,3,0,0.0
qwen3:4b,numeric_probe,2145,2145-numeric-c10-valid_edge,10,en,valid_edge,1,3,3,3,1.0
qwen3:4b,numeric_probe,2145,2145-numeric-c10-valid_edge,10,es,valid_edge,1,3,3,3,1.0
qwen3:4b,numeric_probe,2145,2145-numeric-c10-valid_edge,10,pt,valid_edge,1,3,3,3,1.0
qwen3:4b,numeric_probe,2287,2287-numeric-c5-nominal,5,en,nominal,1,3,3,3,1.0
qwen3:4b,numeric_probe,2287,2287-numeric-c5-nominal,5,es,nominal,1,3,3,3,1.0
qwen3:4b,numeric_probe,2287,2287-numeric-c5-nominal,5,pt,nominal,1,3,3,3,1.0
qwen3:4b,numeric_probe,2287,2287-numeric-c5-outside,5,en,outside,0,3,3,0,0.0
qwen3:4b,numeric_probe,2287,2287-numeric-c5-outside,5,es,outside,0,3,3,0,0.0
qwen3:4b,numeric_probe,2287,2287-numeric-c5-outside,5,pt,outside,0,3,3,0,0.0
qwen3:4b,numeric_probe,2287,2287-numeric-c5-valid_edge,5,en,valid_edge,1,3,3,3,1.0
qwen3:4b,numeric_probe,2287,2287-numeric-c5-valid_edge,5,es,valid_edge,1,3,3,3,1.0
qwen3:4b,numeric_probe,2287,2287-numeric-c5-valid_edge,5,pt,valid_edge,1,3,3,3,1.0
qwen3:4b,numeric_probe,2287,2287-numeric-c6-nominal,6,en,nominal,1,3,3,3,1.0
qwen3:4b,numeric_probe,2287,2287-numeric-c6-nominal,6,es,nominal,1,3,3,3,1.0
qwen3:4b,numeric_probe,2287,2287-numeric-c6-nominal,6,pt,nominal,1,3,3,3,1.0
qwen3:4b,numeric_probe,2287,2287-numeric-c6-outside,6,en,outside,0,3,3,0,0.0
qwen3:4b,numeric_probe,2287,2287-numeric-c6-outside,6,es,outside,0,3,3,0,0.0
qwen3:4b,numeric_probe,2287,2287-numeric-c6-outside,6,pt,outside,0,3,3,0,0.0
qwen3:4b,numeric_probe,2287,2287-numeric-c6-valid_edge,6,en,valid_edge,1,3,3,3,1.0
qwen3:4b,numeric_probe,2287,2287-numeric-c6-valid_edge,6,es,valid_edge,1,3,3,3,1.0
qwen3:4b,numeric_probe,2287,2287-numeric-c6-valid_edge,6,pt,valid_edge,1,3,3,3,1.0
qwen3:8b,matched_response,1172,1172-complete,1,en,complete,1,3,3,3,1.0
qwen3:8b,matched_response,1172,1172-complete,1,es,complete,1,3,3,3,1.0
qwen3:8b,matched_response,1172,1172-complete,2,en,complete,1,3,3,3,1.0
qwen3:8b,matched_response,1172,1172-complete,2,es,complete,1,3,3,3,1.0
qwen3:8b,matched_response,1172,1172-complete,3,en,complete,1,3,3,3,1.0
qwen3:8b,matched_response,1172,1172-complete,3,es,complete,1,3,3,3,1.0
qwen3:8b,matched_response,1172,1172-complete,4,en,complete,1,3,3,3,1.0
qwen3:8b,matched_response,1172,1172-complete,4,es,complete,1,3,3,3,1.0
qwen3:8b,matched_response,1172,1172-complete,5,en,complete,1,3,3,3,1.0
qwen3:8b,matched_response,1172,1172-complete,5,es,complete,1,3,3,3,1.0
qwen3:8b,matched_response,1172,1172-complete,6,en,complete,1,3,3,3,1.0
qwen3:8b,matched_response,1172,1172-complete,6,es,complete,1,3,3,3,1.0
qwen3:8b,matched_response,1172,1172-missing_risk,1,en,missing_risk,1,3,3,3,1.0
qwen3:8b,matched_response,1172,1172-missing_risk,1,es,missing_risk,1,3,3,3,1.0
qwen3:8b,matched_response,1172,1172-missing_risk,2,en,missing_risk,1,3,3,3,1.0
qwen3:8b,matched_response,1172,1172-missing_risk,2,es,missing_risk,1,3,3,3,1.0
qwen3:8b,matched_response,1172,1172-missing_risk,3,en,missing_risk,1,3,3,3,1.0
qwen3:8b,matched_response,1172,1172-missing_risk,3,es,missing_risk,1,3,3,3,1.0
qwen3:8b,matched_response,1172,1172-missing_risk,4,en,missing_risk,1,3,3,3,1.0
qwen3:8b,matched_response,1172,1172-missing_risk,4,es,missing_risk,1,3,3,3,1.0
qwen3:8b,matched_response,1172,1172-missing_risk,5,en,missing_risk,0,3,3,0,0.0
qwen3:8b,matched_response,1172,1172-missing_risk,5,es,missing_risk,0,3,3,0,0.0
qwen3:8b,matched_response,1172,1172-missing_risk,6,en,missing_risk,1,3,3,3,1.0
qwen3:8b,matched_response,1172,1172-missing_risk,6,es,missing_risk,1,3,3,3,1.0
qwen3:8b,matched_response,1172,1172-wrong_sam,1,en,wrong_sam,1,3,3,3,1.0
qwen3:8b,matched_response,1172,1172-wrong_sam,1,es,wrong_sam,1,3,3,3,1.0
qwen3:8b,matched_response,1172,1172-wrong_sam,2,en,wrong_sam,1,3,3,3,1.0
qwen3:8b,matched_response,1172,1172-wrong_sam,2,es,wrong_sam,1,3,3,3,1.0
qwen3:8b,matched_response,1172,1172-wrong_sam,3,en,wrong_sam,1,3,3,3,1.0
qwen3:8b,matched_response,1172,1172-wrong_sam,3,es,wrong_sam,1,3,3,3,1.0
qwen3:8b,matched_response,1172,1172-wrong_sam,4,en,wrong_sam,0,3,3,0,0.0
qwen3:8b,matched_response,1172,1172-wrong_sam,4,es,wrong_sam,0,3,3,0,0.0
qwen3:8b,matched_response,1172,1172-wrong_sam,5,en,wrong_sam,1,3,3,3,1.0
qwen3:8b,matched_response,1172,1172-wrong_sam,5,es,wrong_sam,1,3,3,3,1.0
qwen3:8b,matched_response,1172,1172-wrong_sam,6,en,wrong_sam,1,3,3,3,1.0
qwen3:8b,matched_response,1172,1172-wrong_sam,6,es,wrong_sam,1,3,3,3,1.0
qwen3:8b,numeric_probe,1172,1172-numeric-c2-nominal,2,en,nominal,1,3,3,3,1.0
qwen3:8b,numeric_probe,1172,1172-numeric-c2-nominal,2,es,nominal,1,3,3,3,1.0
qwen3:8b,numeric_probe,1172,1172-numeric-c2-nominal,2,pt,nominal,1,3,3,3,1.0
qwen3:8b,numeric_probe,1172,1172-numeric-c2-outside,2,en,outside,0,3,3,0,0.0
qwen3:8b,numeric_probe,1172,1172-numeric-c2-outside,2,es,outside,0,3,3,0,0.0
qwen3:8b,numeric_probe,1172,1172-numeric-c2-outside,2,pt,outside,0,3,3,0,0.0
qwen3:8b,numeric_probe,1172,1172-numeric-c2-valid_edge,2,en,valid_edge,1,3,3,0,0.0
qwen3:8b,numeric_probe,1172,1172-numeric-c2-valid_edge,2,es,valid_edge,1,3,3,0,0.0
qwen3:8b,numeric_probe,1172,1172-numeric-c2-valid_edge,2,pt,valid_edge,1,3,3,0,0.0
qwen3:8b,numeric_probe,1172,1172-numeric-c4-far_error,4,en,far_error,0,3,3,0,0.0
qwen3:8b,numeric_probe,1172,1172-numeric-c4-far_error,4,es,far_error,0,3,3,0,0.0
qwen3:8b,numeric_probe,1172,1172-numeric-c4-far_error,4,pt,far_error,0,3,3,0,0.0
qwen3:8b,numeric_probe,1172,1172-numeric-c4-near_error,4,en,near_error,0,3,3,0,0.0
qwen3:8b,numeric_probe,1172,1172-numeric-c4-near_error,4,es,near_error,0,3,3,0,0.0
qwen3:8b,numeric_probe,1172,1172-numeric-c4-near_error,4,pt,near_error,0,3,3,0,0.0
qwen3:8b,numeric_probe,1172,1172-numeric-c4-nominal,4,en,nominal,1,3,3,3,1.0
qwen3:8b,numeric_probe,1172,1172-numeric-c4-nominal,4,es,nominal,1,3,3,3,1.0
qwen3:8b,numeric_probe,1172,1172-numeric-c4-nominal,4,pt,nominal,1,3,3,3,1.0
qwen3:8b,numeric_probe,2145,2145-numeric-c1-nominal,1,en,nominal,1,3,3,3,1.0
qwen3:8b,numeric_probe,2145,2145-numeric-c1-nominal,1,es,nominal,1,3,3,3,1.0
qwen3:8b,numeric_probe,2145,2145-numeric-c1-nominal,1,pt,nominal,1,3,3,3,1.0
qwen3:8b,numeric_probe,2145,2145-numeric-c1-outside,1,en,outside,0,3,3,0,0.0
qwen3:8b,numeric_probe,2145,2145-numeric-c1-outside,1,es,outside,0,3,3,0,0.0
qwen3:8b,numeric_probe,2145,2145-numeric-c1-outside,1,pt,outside,0,3,3,0,0.0
qwen3:8b,numeric_probe,2145,2145-numeric-c1-valid_edge,1,en,valid_edge,1,3,3,0,0.0
qwen3:8b,numeric_probe,2145,2145-numeric-c1-valid_edge,1,es,valid_edge,1,3,3,0,0.0
qwen3:8b,numeric_probe,2145,2145-numeric-c1-valid_edge,1,pt,valid_edge,1,3,3,0,0.0
qwen3:8b,numeric_probe,2145,2145-numeric-c10-nominal,10,en,nominal,1,3,3,3,1.0
qwen3:8b,numeric_probe,2145,2145-numeric-c10-nominal,10,es,nominal,1,3,3,3,1.0
qwen3:8b,numeric_probe,2145,2145-numeric-c10-nominal,10,pt,nominal,1,3,3,3,1.0
qwen3:8b,numeric_probe,2145,2145-numeric-c10-outside,10,en,outside,0,3,3,0,0.0
qwen3:8b,numeric_probe,2145,2145-numeric-c10-outside,10,es,outside,0,3,3,0,0.0
qwen3:8b,numeric_probe,2145,2145-numeric-c10-outside,10,pt,outside,0,3,3,0,0.0
qwen3:8b,numeric_probe,2145,2145-numeric-c10-valid_edge,10,en,valid_edge,1,3,3,0,0.0
qwen3:8b,numeric_probe,2145,2145-numeric-c10-valid_edge,10,es,valid_edge,1,3,3,0,0.0
qwen3:8b,numeric_probe,2145,2145-numeric-c10-valid_edge,10,pt,valid_edge,1,3,3,0,0.0
qwen3:8b,numeric_probe,2287,2287-numeric-c5-nominal,5,en,nominal,1,3,3,3,1.0
qwen3:8b,numeric_probe,2287,2287-numeric-c5-nominal,5,es,nominal,1,3,3,3,1.0
qwen3:8b,numeric_probe,2287,2287-numeric-c5-nominal,5,pt,nominal,1,3,3,3,1.0
qwen3:8b,numeric_probe,2287,2287-numeric-c5-outside,5,en,outside,0,3,3,0,0.0
qwen3:8b,numeric_probe,2287,2287-numeric-c5-outside,5,es,outside,0,3,3,0,0.0
qwen3:8b,numeric_probe,2287,2287-numeric-c5-outside,5,pt,outside,0,3,3,0,0.0
qwen3:8b,numeric_probe,2287,2287-numeric-c5-valid_edge,5,en,valid_edge,1,3,3,3,1.0
qwen3:8b,numeric_probe,2287,2287-numeric-c5-valid_edge,5,es,valid_edge,1,3,3,3,1.0
qwen3:8b,numeric_probe,2287,2287-numeric-c5-valid_edge,5,pt,valid_edge,1,3,3,0,0.0
qwen3:8b,numeric_probe,2287,2287-numeric-c6-nominal,6,en,nominal,1,3,3,3,1.0
qwen3:8b,numeric_probe,2287,2287-numeric-c6-nominal,6,es,nominal,1,3,3,3,1.0
qwen3:8b,numeric_probe,2287,2287-numeric-c6-nominal,6,pt,nominal,1,3,3,3,1.0
qwen3:8b,numeric_probe,2287,2287-numeric-c6-outside,6,en,outside,0,3,3,0,0.0
qwen3:8b,numeric_probe,2287,2287-numeric-c6-outside,6,es,outside,0,3,3,0,0.0
qwen3:8b,numeric_probe,2287,2287-numeric-c6-outside,6,pt,outside,0,3,3,0,0.0
qwen3:8b,numeric_probe,2287,2287-numeric-c6-valid_edge,6,en,valid_edge,1,3,3,0,0.0
qwen3:8b,numeric_probe,2287,2287-numeric-c6-valid_edge,6,es,valid_edge,1,3,3,0,0.0
qwen3:8b,numeric_probe,2287,2287-numeric-c6-valid_edge,6,pt,valid_edge,1,3,3,0,0.0
gemma3:4b,matched_response,1172,1172-complete,1,en,complete,1,3,3,3,1.0
gemma3:4b,matched_response,1172,1172-complete,1,es,complete,1,3,3,3,1.0
gemma3:4b,matched_response,1172,1172-complete,2,en,complete,1,3,3,3,1.0
gemma3:4b,matched_response,1172,1172-complete,2,es,complete,1,3,3,3,1.0
gemma3:4b,matched_response,1172,1172-complete,3,en,complete,1,3,3,3,1.0
