model,kind,task_id,criterion_id,language,grading_language,wording,before,after,changed,detected,reversed,repaired,regressed,pass_fraction_change,fraction_changed,absolute_error_change,state
qwen3:4b,paraphrase,145,2,es,es,,0,0,0,,,0,0,0.0,0,0.0,incorrect
qwen3:4b,paraphrase,2287,1,en,en,,1,1,0,,,0,0,0.0,0,0.0,correct
qwen3:4b,paraphrase,2287,1,en,es,,1,1,0,,,0,0,0.0,0,0.0,correct
qwen3:4b,paraphrase,2287,1,es,en,,1,1,0,,,0,0,0.0,0,0.0,correct
qwen3:4b,paraphrase,2287,1,es,es,,1,1,0,,,0,0,0.0,0,0.0,correct
qwen3:4b,paraphrase,2287,1,en,en,,0,0,0,,,0,0,0.0,0,0.0,incorrect
qwen3:4b,paraphrase,2287,1,en,es,,0,0,0,,,0,0,0.0,0,0.0,incorrect
qwen3:4b,paraphrase,2287,1,es,en,,0,0,0,,,0,0,0.0,0,0.0,incorrect
qwen3:4b,paraphrase,2287,1,es,es,,0,0,0,,,0,0,0.0,0,0.0,incorrect
qwen3:4b,paraphrase,2287,2,en,en,,1,1,0,,,0,0,0.0,0,0.0,correct
qwen3:4b,paraphrase,2287,2,en,es,,1,1,0,,,0,0,0.0,0,0.0,correct
qwen3:4b,paraphrase,2287,2,es,en,,1,1,0,,,0,0,0.0,0,0.0,correct
qwen3:4b,paraphrase,2287,2,es,es,,1,1,0,,,0,0,0.0,0,0.0,correct
qwen3:4b,paraphrase,2287,2,en,en,,0,0,0,,,0,0,0.0,0,0.0,incorrect
qwen3:4b,paraphrase,2287,2,en,es,,0,0,0,,,0,0,0.0,0,0.0,incorrect
qwen3:4b,paraphrase,2287,2,es,en,,0,0,0,,,0,0,0.0,0,0.0,incorrect
qwen3:4b,paraphrase,2287,2,es,es,,0,0,0,,,0,0,0.0,0,0.0,incorrect
qwen3:4b,paraphrase,2287,3,en,en,,1,1,0,,,0,0,0.0,0,0.0,correct
qwen3:4b,paraphrase,2287,3,en,es,,1,1,0,,,0,0,0.0,0,0.0,correct
qwen3:4b,paraphrase,2287,3,es,en,,1,1,0,,,0,0,0.0,0,0.0,correct
qwen3:4b,paraphrase,2287,3,es,es,,1,1,0,,,0,0,0.0,0,0.0,correct
qwen3:4b,paraphrase,2287,3,en,en,,0,0,0,,,0,0,0.0,0,0.0,incorrect
qwen3:4b,paraphrase,2287,3,en,es,,0,0,0,,,0,0,0.0,0,0.0,incorrect
qwen3:4b,paraphrase,2287,3,es,en,,0,0,0,,,0,0,0.0,0,0.0,incorrect
qwen3:4b,paraphrase,2287,3,es,es,,0,0,0,,,0,0,0.0,0,0.0,incorrect
qwen3:4b,paraphrase,2287,5,en,en,,1,1,0,,,0,0,0.0,0,0.0,correct
qwen3:4b,paraphrase,2287,5,en,es,,1,1,0,,,0,0,0.0,0,0.0,correct
qwen3:4b,paraphrase,2287,5,es,en,,1,1,0,,,0,0,0.0,0,0.0,correct
qwen3:4b,paraphrase,2287,5,es,es,,1,1,0,,,0,0,0.0,0,0.0,correct
qwen3:4b,paraphrase,2287,5,en,en,,0,0,0,,,0,0,0.0,0,0.0,incorrect
qwen3:4b,paraphrase,2287,5,en,es,,0,0,0,,,0,0,0.0,0,0.0,incorrect
qwen3:4b,paraphrase,2287,5,es,en,,0,0,0,,,0,0,0.0,0,0.0,incorrect
qwen3:4b,paraphrase,2287,5,es,es,,0,0,0,,,0,0,0.0,0,0.0,incorrect
qwen3:4b,grading_language,1122,1,en,,original,1,1,0,,,0,0,0.0,0,0.0,correct
qwen3:4b,grading_language,1122,1,en,,paraphrase,1,1,0,,,0,0,0.0,0,0.0,correct
qwen3:4b,grading_language,1122,1,es,,original,1,1,0,,,0,0,0.0,0,0.0,correct
qwen3:4b,grading_language,1122,1,es,,paraphrase,1,1,0,,,0,0,0.0,0,0.0,correct
qwen3:4b,grading_language,1122,1,en,,original,0,0,0,,,0,0,0.0,0,0.0,incorrect
qwen3:4b,grading_language,1122,1,en,,paraphrase,0,0,0,,,0,0,0.0,0,0.0,incorrect
qwen3:4b,grading_language,1122,1,es,,original,0,0,0,,,0,0,0.0,0,0.0,incorrect
qwen3:4b,grading_language,1122,1,es,,paraphrase,0,0,0,,,0,0,0.0,0,0.0,incorrect
qwen3:4b,grading_language,145,2,en,,original,1,1,0,,,0,0,0.0,0,0.0,correct
qwen3:4b,grading_language,145,2,en,,paraphrase,1,1,0,,,0,0,0.0,0,0.0,correct
qwen3:4b,grading_language,145,2,es,,original,1,1,0,,,0,0,0.0,0,0.0,correct
qwen3:4b,grading_language,145,2,es,,paraphrase,1,1,0,,,0,0,0.0,0,0.0,correct
qwen3:4b,grading_language,145,2,en,,original,0,0,0,,,0,0,0.0,0,0.0,incorrect
qwen3:4b,grading_language,145,2,en,,paraphrase,0,0,0,,,0,0,0.0,0,0.0,incorrect
qwen3:4b,grading_language,145,2,es,,original,0,0,0,,,0,0,0.0,0,0.0,incorrect
qwen3:4b,grading_language,145,2,es,,paraphrase,0,0,0,,,0,0,0.0,0,0.0,incorrect
qwen3:4b,grading_language,2287,1,en,,original,1,1,0,,,0,0,0.0,0,0.0,correct
qwen3:4b,grading_language,2287,1,en,,paraphrase,1,1,0,,,0,0,0.0,0,0.0,correct
qwen3:4b,grading_language,2287,1,es,,original,1,1,0,,,0,0,0.0,0,0.0,correct
qwen3:4b,grading_language,2287,1,es,,paraphrase,1,1,0,,,0,0,0.0,0,0.0,correct
qwen3:4b,grading_language,2287,1,en,,original,0,0,0,,,0,0,0.0,0,0.0,incorrect
qwen3:4b,grading_language,2287,1,en,,paraphrase,0,0,0,,,0,0,0.0,0,0.0,incorrect
qwen3:4b,grading_language,2287,1,es,,original,0,0,0,,,0,0,0.0,0,0.0,incorrect
qwen3:4b,grading_language,2287,1,es,,paraphrase,0,0,0,,,0,0,0.0,0,0.0,incorrect
qwen3:4b,grading_language,2287,2,en,,original,1,1,0,,,0,0,0.0,0,0.0,correct
qwen3:4b,grading_language,2287,2,en,,paraphrase,1,1,0,,,0,0,0.0,0,0.0,correct
qwen3:4b,grading_language,2287,2,es,,original,1,1,0,,,0,0,0.0,0,0.0,correct
qwen3:4b,grading_language,2287,2,es,,paraphrase,1,1,0,,,0,0,0.0,0,0.0,correct
qwen3:4b,grading_language,2287,2,en,,original,0,0,0,,,0,0,0.0,0,0.0,incorrect
qwen3:4b,grading_language,2287,2,en,,paraphrase,0,0,0,,,0,0,0.0,0,0.0,incorrect
qwen3:4b,grading_language,2287,2,es,,original,0,0,0,,,0,0,0.0,0,0.0,incorrect
qwen3:4b,grading_language,2287,2,es,,paraphrase,0,0,0,,,0,0,0.0,0,0.0,incorrect
qwen3:4b,grading_language,2287,3,en,,original,1,1,0,,,0,0,0.0,0,0.0,correct
qwen3:4b,grading_language,2287,3,en,,paraphrase,1,1,0,,,0,0,0.0,0,0.0,correct
qwen3:4b,grading_language,2287,3,es,,original,1,1,0,,,0,0,0.0,0,0.0,correct
qwen3:4b,grading_language,2287,3,es,,paraphrase,1,1,0,,,0,0,0.0,0,0.0,correct
qwen3:4b,grading_language,2287,3,en,,original,0,0,0,,,0,0,0.0,0,0.0,incorrect
qwen3:4b,grading_language,2287,3,en,,paraphrase,0,0,0,,,0,0,0.0,0,0.0,incorrect
qwen3:4b,grading_language,2287,3,es,,original,0,0,0,,,0,0,0.0,0,0.0,incorrect
qwen3:4b,grading_language,2287,3,es,,paraphrase,0,0,0,,,0,0,0.0,0,0.0,incorrect
qwen3:4b,grading_language,2287,5,en,,original,1,1,0,,,0,0,0.0,0,0.0,correct
qwen3:4b,grading_language,2287,5,en,,paraphrase,1,1,0,,,0,0,0.0,0,0.0,correct
qwen3:4b,grading_language,2287,5,es,,original,1,1,0,,,0,0,0.0,0,0.0,correct
qwen3:4b,grading_language,2287,5,es,,paraphrase,1,1,0,,,0,0,0.0,0,0.0,correct
qwen3:4b,grading_language,2287,5,en,,original,0,0,0,,,0,0,0.0,0,0.0,incorrect
qwen3:4b,grading_language,2287,5,en,,paraphrase,0,0,0,,,0,0,0.0,0,0.0,incorrect
qwen3:4b,grading_language,2287,5,es,,original,0,0,0,,,0,0,0.0,0,0.0,incorrect
qwen3:4b,grading_language,2287,5,es,,paraphrase,0,0,0,,,0,0,0.0,0,0.0,incorrect
qwen3:4b,response_language,1122,1,,en,original,1,1,0,,,0,0,0.0,0,0.0,correct
qwen3:4b,response_language,1122,1,,en,paraphrase,1,1,0,,,0,0,0.0,0,0.0,correct
qwen3:4b,response_language,1122,1,,es,original,1,1,0,,,0,0,0.0,0,0.0,correct
qwen3:4b,response_language,1122,1,,es,paraphrase,1,1,0,,,0,0,0.0,0,0.0,correct
qwen3:4b,response_language,1122,1,,en,original,0,0,0,,,0,0,0.0,0,0.0,incorrect
qwen3:4b,response_language,1122,1,,en,paraphrase,0,0,0,,,0,0,0.0,0,0.0,incorrect
qwen3:4b,response_language,1122,1,,es,original,0,0,0,,,0,0,0.0,0,0.0,incorrect
qwen3:4b,response_language,1122,1,,es,paraphrase,0,0,0,,,0,0,0.0,0,0.0,incorrect
qwen3:4b,response_language,145,2,,en,original,1,1,0,,,0,0,0.0,0,0.0,correct
qwen3:4b,response_language,145,2,,en,paraphrase,1,1,0,,,0,0,0.0,0,0.0,correct
qwen3:4b,response_language,145,2,,es,original,1,1,0,,,0,0,0.0,0,0.0,correct
qwen3:4b,response_language,145,2,,es,paraphrase,1,1,0,,,0,0,0.0,0,0.0,correct
qwen3:4b,response_language,145,2,,en,original,0,0,0,,,0,0,0.0,0,0.0,incorrect
qwen3:4b,response_language,145,2,,en,paraphrase,0,0,0,,,0,0,0.0,0,0.0,incorrect
qwen3:4b,response_language,145,2,,es,original,0,0,0,,,0,0,0.0,0,0.0,incorrect
qwen3:4b,response_language,145,2,,es,paraphrase,0,0,0,,,0,0,0.0,0,0.0,incorrect
qwen3:4b,response_language,2287,1,,en,original,1,1,0,,,0,0,0.0,0,0.0,correct
qwen3:4b,response_language,2287,1,,en,paraphrase,1,1,0,,,0,0,0.0,0,0.0,correct
qwen3:4b,response_language,2287,1,,es,original,1,1,0,,,0,0,0.0,0,0.0,correct
qwen3:4b,response_language,2287,1,,es,paraphrase,1,1,0,,,0,0,0.0,0,0.0,correct
qwen3:4b,response_language,2287,1,,en,original,0,0,0,,,0,0,0.0,0,0.0,incorrect
qwen3:4b,response_language,2287,1,,en,paraphrase,0,0,0,,,0,0,0.0,0,0.0,incorrect
qwen3:4b,response_language,2287,1,,es,original,0,0,0,,,0,0,0.0,0,0.0,incorrect
qwen3:4b,response_language,2287,1,,es,paraphrase,0,0,0,,,0,0,0.0,0,0.0,incorrect
qwen3:4b,response_language,2287,2,,en,original,1,1,0,,,0,0,0.0,0,0.0,correct
qwen3:4b,response_language,2287,2,,en,paraphrase,1,1,0,,,0,0,0.0,0,0.0,correct
qwen3:4b,response_language,2287,2,,es,original,1,1,0,,,0,0,0.0,0,0.0,correct
qwen3:4b,response_language,2287,2,,es,paraphrase,1,1,0,,,0,0,0.0,0,0.0,correct
qwen3:4b,response_language,2287,2,,en,original,0,0,0,,,0,0,0.0,0,0.0,incorrect
qwen3:4b,response_language,2287,2,,en,paraphrase,0,0,0,,,0,0,0.0,0,0.0,incorrect
qwen3:4b,response_language,2287,2,,es,original,0,0,0,,,0,0,0.0,0,0.0,incorrect
qwen3:4b,response_language,2287,2,,es,paraphrase,0,0,0,,,0,0,0.0,0,0.0,incorrect
qwen3:4b,response_language,2287,3,,en,original,1,1,0,,,0,0,0.0,0,0.0,correct
qwen3:4b,response_language,2287,3,,en,paraphrase,1,1,0,,,0,0,0.0,0,0.0,correct
qwen3:4b,response_language,2287,3,,es,original,1,1,0,,,0,0,0.0,0,0.0,correct
qwen3:4b,response_language,2287,3,,es,paraphrase,1,1,0,,,0,0,0.0,0,0.0,correct
qwen3:4b,response_language,2287,3,,en,original,0,0,0,,,0,0,0.0,0,0.0,incorrect
qwen3:4b,response_language,2287,3,,en,paraphrase,0,0,0,,,0,0,0.0,0,0.0,incorrect
qwen3:4b,response_language,2287,3,,es,original,0,0,0,,,0,0,0.0,0,0.0,incorrect
qwen3:4b,response_language,2287,3,,es,paraphrase,0,0,0,,,0,0,0.0,0,0.0,incorrect
qwen3:4b,response_language,2287,5,,en,original,1,1,0,,,0,0,0.0,0,0.0,correct
qwen3:4b,response_language,2287,5,,en,paraphrase,1,1,0,,,0,0,0.0,0,0.0,correct
qwen3:4b,response_language,2287,5,,es,original,1,1,0,,,0,0,0.0,0,0.0,correct
qwen3:4b,response_language,2287,5,,es,paraphrase,1,1,0,,,0,0,0.0,0,0.0,correct
qwen3:4b,response_language,2287,5,,en,original,0,0,0,,,0,0,0.0,0,0.0,incorrect
qwen3:4b,response_language,2287,5,,en,paraphrase,0,0,0,,,0,0,0.0,0,0.0,incorrect
qwen3:4b,response_language,2287,5,,es,original,0,0,0,,,0,0,0.0,0,0.0,incorrect
qwen3:4b,response_language,2287,5,,es,paraphrase,0,0,0,,,0,0,0.0,0,0.0,incorrect
gemma3:4b,content,1122,1,en,en,original,1,1,0,0,0,,,0.0,0,-1.0,
gemma3:4b,content,1122,1,en,en,paraphrase,1,1,0,0,0,,,0.0,0,-1.0,
gemma3:4b,content,1122,1,en,es,original,0,1,1,1,0,,,1.0,1,0.0,
gemma3:4b,content,1122,1,en,es,paraphrase,1,1,0,0,0,,,0.0,0,-1.0,
gemma3:4b,content,1122,1,es,en,original,1,1,0,0,0,,,0.0,0,-1.0,
gemma3:4b,content,1122,1,es,en,paraphrase,1,1,0,0,0,,,0.0,0,-1.0,
gemma3:4b,content,1122,1,es,es,original,1,1,0,0,0,,,0.0,0,-1.0,
gemma3:4b,content,1122,1,es,es,paraphrase,1,1,0,0,0,,,0.0,0,-1.0,
gemma3:4b,content,145,2,en,en,original,1,1,0,0,0,,,0.0,0,-1.0,
gemma3:4b,content,145,2,en,en,paraphrase,1,1,0,0,0,,,0.0,0,-1.0,
gemma3:4b,content,145,2,en,es,original,1,1,0,0,0,,,0.0,0,-1.0,
gemma3:4b,content,145,2,en,es,paraphrase,1,1,0,0,0,,,0.0,0,-1.0,
gemma3:4b,content,145,2,es,en,original,1,1,0,0,0,,,0.0,0,-1.0,
gemma3:4b,content,145,2,es,en,paraphrase,1,1,0,0,0,,,0.0,0,-1.0,
gemma3:4b,content,145,2,es,es,original,1,1,0,0,0,,,0.0,0,-1.0,
gemma3:4b,content,145,2,es,es,paraphrase,1,1,0,0,0,,,0.0,0,-1.0,
gemma3:4b,content,2287,1,en,en,original,1,1,0,0,0,,,0.0,0,-1.0,
gemma3:4b,content,2287,1,en,en,paraphrase,1,1,0,0,0,,,0.0,0,-1.0,
gemma3:4b,content,2287,1,en,es,original,0,1,1,1,0,,,1.0,1,0.0,
gemma3:4b,content,2287,1,en,es,paraphrase,0,1,1,1,0,,,1.0,1,0.0,
gemma3:4b,content,2287,1,es,en,original,1,1,0,0,0,,,0.0,0,-1.0,
gemma3:4b,content,2287,1,es,en,paraphrase,1,1,0,0,0,,,0.0,0,-1.0,
gemma3:4b,content,2287,1,es,es,original,0,1,1,1,0,,,1.0,1,0.0,
gemma3:4b,content,2287,1,es,es,paraphrase,0,1,1,1,0,,,1.0,1,0.0,
gemma3:4b,content,2287,2,en,en,original,0,1,1,1,0,,,1.0,1,0.0,
gemma3:4b,content,2287,2,en,en,paraphrase,0,1,1,1,0,,,1.0,1,0.0,
gemma3:4b,content,2287,2,en,es,original,0,1,1,1,0,,,1.0,1,0.0,
gemma3:4b,content,2287,2,en,es,paraphrase,0,1,1,1,0,,,1.0,1,0.0,
gemma3:4b,content,2287,2,es,en,original,0,1,1,1,0,,,1.0,1,0.0,
gemma3:4b,content,2287,2,es,en,paraphrase,0,1,1,1,0,,,1.0,1,0.0,
gemma3:4b,content,2287,2,es,es,original,0,1,1,1,0,,,1.0,1,0.0,
gemma3:4b,content,2287,2,es,es,paraphrase,0,1,1,1,0,,,1.0,1,0.0,
gemma3:4b,content,2287,3,en,en,original,0,1,1,1,0,,,1.0,1,0.0,
gemma3:4b,content,2287,3,en,en,paraphrase,0,1,1,1,0,,,1.0,1,0.0,
gemma3:4b,content,2287,3,en,es,original,0,1,1,1,0,,,1.0,1,0.0,
gemma3:4b,content,2287,3,en,es,paraphrase,0,1,1,1,0,,,1.0,1,0.0,
gemma3:4b,content,2287,3,es,en,original,0,1,1,1,0,,,1.0,1,0.0,
gemma3:4b,content,2287,3,es,en,paraphrase,0,1,1,1,0,,,1.0,1,0.0,
gemma3:4b,content,2287,3,es,es,original,0,1,1,1,0,,,1.0,1,0.0,
gemma3:4b,content,2287,3,es,es,paraphrase,0,1,1,1,0,,,1.0,1,0.0,
gemma3:4b,content,2287,5,en,en,original,0,1,1,1,0,,,1.0,1,0.0,
gemma3:4b,content,2287,5,en,en,paraphrase,0,1,1,1,0,,,1.0,1,0.0,
gemma3:4b,content,2287,5,en,es,original,0,1,1,1,0,,,1.0,1,0.0,
gemma3:4b,content,2287,5,en,es,paraphrase,0,1,1,1,0,,,1.0,1,0.0,
gemma3:4b,content,2287,5,es,en,original,0,1,1,1,0,,,1.0,1,0.0,
gemma3:4b,content,2287,5,es,en,paraphrase,0,1,1,1,0,,,1.0,1,0.0,
gemma3:4b,content,2287,5,es,es,original,0,1,1,1,0,,,1.0,1,0.0,
gemma3:4b,content,2287,5,es,es,paraphrase,0,1,1,1,0,,,1.0,1,0.0,
gemma3:4b,paraphrase,1122,1,en,en,,1,1,0,,,0,0,0.0,0,0.0,correct
gemma3:4b,paraphrase,1122,1,en,es,,1,1,0,,,0,0,0.0,0,0.0,correct
gemma3:4b,paraphrase,1122,1,es,en,,1,1,0,,,0,0,0.0,0,0.0,correct
gemma3:4b,paraphrase,1122,1,es,es,,1,1,0,,,0,0,0.0,0,0.0,correct
gemma3:4b,paraphrase,1122,1,en,en,,1,1,0,,,0,0,0.0,0,0.0,incorrect
gemma3:4b,paraphrase,1122,1,en,es,,0,1,1,,,0,1,1.0,1,1.0,incorrect
gemma3:4b,paraphrase,1122,1,es,en,,1,1,0,,,0,0,0.0,0,0.0,incorrect
gemma3:4b,paraphrase,1122,1,es,es,,1,1,0,,,0,0,0.0,0,0.0,incorrect
gemma3:4b,paraphrase,145,2,en,en,,1,1,0,,,0,0,0.0,0,0.0,correct
gemma3:4b,paraphrase,145,2,en,es,,1,1,0,,,0,0,0.0,0,0.0,correct
gemma3:4b,paraphrase,145,2,es,en,,1,1,0,,,0,0,0.0,0,0.0,correct
gemma3:4b,paraphrase,145,2,es,es,,1,1,0,,,0,0,0.0,0,0.0,correct
gemma3:4b,paraphrase,145,2,en,en,,1,1,0,,,0,0,0.0,0,0.0,incorrect
gemma3:4b,paraphrase,145,2,en,es,,1,1,0,,,0,0,0.0,0,0.0,incorrect
gemma3:4b,paraphrase,145,2,es,en,,1,1,0,,,0,0,0.0,0,0.0,incorrect
gemma3:4b,paraphrase,145,2,es,es,,1,1,0,,,0,0,0.0,0,0.0,incorrect
gemma3:4b,paraphrase,2287,1,en,en,,1,1,0,,,0,0,0.0,0,0.0,correct
gemma3:4b,paraphrase,2287,1,en,es,,1,1,0,,,0,0,0.0,0,0.0,correct
gemma3:4b,paraphrase,2287,1,es,en,,1,1,0,,,0,0,0.0,0,0.0,correct
gemma3:4b,paraphrase,2287,1,es,es,,1,1,0,,,0,0,0.0,0,0.0,correct
gemma3:4b,paraphrase,2287,1,en,en,,1,1,0,,,0,0,0.0,0,0.0,incorrect
gemma3:4b,paraphrase,2287,1,en,es,,0,0,0,,,0,0,0.0,0,0.0,incorrect
gemma3:4b,paraphrase,2287,1,es,en,,1,1,0,,,0,0,0.0,0,0.0,incorrect
gemma3:4b,paraphrase,2287,1,es,es,,0,0,0,,,0,0,0.0,0,0.0,incorrect
gemma3:4b,paraphrase,2287,2,en,en,,1,1,0,,,0,0,0.0,0,0.0,correct
gemma3:4b,paraphrase,2287,2,en,es,,1,1,0,,,0,0,0.0,0,0.0,correct
gemma3:4b,paraphrase,2287,2,es,en,,1,1,0,,,0,0,0.0,0,0.0,correct
gemma3:4b,paraphrase,2287,2,es,es,,1,1,0,,,0,0,0.0,0,0.0,correct
gemma3:4b,paraphrase,2287,2,en,en,,0,0,0,,,0,0,0.0,0,0.0,incorrect
gemma3:4b,paraphrase,2287,2,en,es,,0,0,0,,,0,0,0.0,0,0.0,incorrect
gemma3:4b,paraphrase,2287,2,es,en,,0,0,0,,,0,0,0.0,0,0.0,incorrect
gemma3:4b,paraphrase,2287,2,es,es,,0,0,0,,,0,0,0.0,0,0.0,incorrect
gemma3:4b,paraphrase,2287,3,en,en,,1,1,0,,,0,0,0.0,0,0.0,correct
gemma3:4b,paraphrase,2287,3,en,es,,1,1,0,,,0,0,0.0,0,0.0,correct
gemma3:4b,paraphrase,2287,3,es,en,,1,1,0,,,0,0,0.0,0,0.0,correct
gemma3:4b,paraphrase,2287,3,es,es,,1,1,0,,,0,0,0.0,0,0.0,correct
gemma3:4b,paraphrase,2287,3,en,en,,0,0,0,,,0,0,0.0,0,0.0,incorrect
gemma3:4b,paraphrase,2287,3,en,es,,0,0,0,,,0,0,0.0,0,0.0,incorrect
gemma3:4b,paraphrase,2287,3,es,en,,0,0,0,,,0,0,0.0,0,0.0,incorrect
gemma3:4b,paraphrase,2287,3,es,es,,0,0,0,,,0,0,0.0,0,0.0,incorrect
gemma3:4b,paraphrase,2287,5,en,en,,1,1,0,,,0,0,0.0,0,0.0,correct
gemma3:4b,paraphrase,2287,5,en,es,,1,1,0,,,0,0,0.0,0,0.0,correct
gemma3:4b,paraphrase,2287,5,es,en,,1,1,0,,,0,0,0.0,0,0.0,correct
gemma3:4b,paraphrase,2287,5,es,es,,1,1,0,,,0,0,0.0,0,0.0,correct
